PassengerId,Pclass,Age,Fare,FamilySize,IsAlone,Age*Class,FarePerPerson,Sex_male,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,Deck_B,Deck_C,Deck_D,Deck_E,Deck_F,Deck_G,Deck_T,Deck_U,FareBin_Low,FareBin_High,FareBin_Very_High,AgeBin_Teenager,AgeBin_Adult,AgeBin_Middle_Age,AgeBin_Senior,Survived
15,3,14.0,7.8542,1,1,42.0,7.854192145807854,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
16,2,55.0,16.0,1,1,110.0,15.999984000016001,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1
17,3,2.0,29.125,6,0,6.0,4.854165857639024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
18,2,31.887685451080092,13.0,1,1,63.775370902160184,12.999987000013,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
19,3,31.0,18.0,2,0,93.0,8.99999550000225,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
20,3,38.55,7.225,1,1,115.64999999999999,7.224992775007225,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
21,2,35.0,26.0,1,1,70.0,25.999974000026,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
22,2,34.0,13.0,1,1,68.0,12.999987000013,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1
23,3,15.0,8.0292,1,1,45.0,8.029191970808029,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
24,1,28.0,35.5,1,1,28.0,35.4999645000355,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
25,3,8.0,21.075,5,0,24.0,4.214999157000168,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,3,38.0,31.3875,7,0,114.0,4.483927930867439,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
27,3,27.256516612848362,7.225,1,1,81.76954983854509,7.224992775007225,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
28,1,19.0,263.0,6,0,19.0,43.833326027778995,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
29,3,21.5250955988456,7.8792,1,1,64.5752867965368,7.87919212080788,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
30,3,27.543020563624466,7.8958,1,1,82.6290616908734,7.895792104207897,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
31,1,40.0,27.7208,1,1,40.0,27.720772279227724,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
32,1,36.1025,146.5208,2,0,36.1025,73.26036336981831,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
33,3,26.363908542846033,7.75,1,1,79.0917256285381,7.74999225000775,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
34,2,66.0,10.5,1,1,132.0,10.499989500010502,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
35,1,28.0,82.1708,2,0,28.0,41.08537945731027,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
36,1,42.0,52.0,2,0,42.0,25.9999870000065,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
37,3,23.90057433064013,7.2292,1,1,71.70172299192039,7.229192770807229,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
38,3,21.0,8.05,1,1,63.0,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
39,3,18.0,18.0,3,0,54.0,5.999998000000667,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
40,3,14.0,11.2417,2,0,42.0,5.620847189576405,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
41,3,40.0,9.475,2,0,120.0,4.737497631251184,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
42,2,27.0,21.0,2,0,54.0,10.499994750002624,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
43,3,32.18411624649859,7.8958,1,1,96.55234873949577,7.895792104207897,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
44,2,3.0,41.5792,4,0,6.0,10.39479740130065,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
45,3,19.0,7.8792,1,1,57.0,7.87919212080788,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
46,3,29.77810885753248,8.05,1,1,89.33432657259743,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
47,3,32.116593253968254,15.5,2,0,96.34977976190476,7.749996125001937,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
48,3,26.363908542846033,7.75,1,1,79.0917256285381,7.74999225000775,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
49,3,21.612410714285705,21.6792,3,0,64.83723214285712,7.226397591200803,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
50,3,18.0,17.8,2,0,54.0,8.899995550002224,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
51,3,7.0,39.6875,6,0,21.0,6.614582230902961,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
52,3,21.0,7.8,1,1,63.0,7.7999922000078,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
53,1,49.0,76.7292,2,0,49.0,38.364580817709594,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1
54,2,29.0,26.0,2,0,58.0,12.99999350000325,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
55,1,65.0,61.9792,2,0,65.0,30.989584505207745,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
56,1,38.48908333333333,35.5,1,1,38.48908333333333,35.4999645000355,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
57,2,21.0,10.5,1,1,42.0,10.499989500010502,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
58,3,28.5,7.2292,1,1,85.5,7.229192770807229,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
59,2,5.0,27.75,4,0,10.0,6.937498265625433,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
60,3,11.0,46.9,8,0,33.0,5.862499267187592,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
61,3,22.0,7.2292,1,1,66.0,7.229192770807229,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
62,1,38.0,80.0,1,1,38.0,79.99992000008001,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
63,1,45.0,83.475,2,0,45.0,41.73747913126043,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
64,3,4.0,27.9,6,0,12.0,4.649999225000129,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
65,1,30.6125,27.7208,1,1,30.6125,27.720772279227724,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
66,3,6.400205952380951,15.2458,3,0,19.200617857142852,5.08193163935612,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
67,2,29.0,10.5,1,1,58.0,10.499989500010502,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
68,3,19.0,8.1583,1,1,57.0,8.15829184170816,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
69,3,17.0,7.925,7,0,51.0,1.1321426954081864,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
70,3,26.0,8.6625,3,0,78.0,2.8874990375003207,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
71,2,32.0,10.5,1,1,64.0,10.499989500010502,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
72,3,16.0,46.9,8,0,48.0,5.862499267187592,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
73,2,21.0,73.5,1,1,42.0,73.4999265000735,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
74,3,26.0,14.4542,2,0,78.0,7.227096386451806,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
75,3,32.0,56.4958,1,1,96.0,56.4957435042565,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1
76,3,25.0,7.65,1,1,75.0,7.6499923500076505,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
77,3,27.543020563624466,7.8958,1,1,82.6290616908734,7.895792104207897,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
78,3,29.77810885753248,8.05,1,1,89.33432657259743,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
79,2,0.83,29.0,3,0,1.66,9.666663444445518,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
80,3,30.0,12.475,1,1,90.0,12.474987525012475,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
81,3,22.0,9.0,1,1,66.0,8.999991000009,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
82,3,29.0,9.5,1,1,87.0,9.4999905000095,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
83,3,22.60359095071594,7.7875,1,1,67.81077285214782,7.787492212507788,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
84,1,28.0,47.1,1,1,28.0,47.09995290004711,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
85,2,17.0,10.5,1,1,34.0,10.499989500010502,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
86,3,33.0,15.85,4,0,99.0,3.9624990093752475,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
87,3,16.0,34.375,5,0,48.0,6.874998625000274,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
88,3,29.77810885753248,8.05,1,1,89.33432657259743,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
89,1,23.0,263.0,6,0,23.0,43.833326027778995,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
90,3,24.0,8.05,1,1,72.0,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
91,3,29.0,8.05,1,1,87.0,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
92,3,20.0,7.8542,1,1,60.0,7.854192145807854,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
93,1,46.0,61.175,2,0,46.0,30.587484706257644,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
94,3,26.0,20.575,4,0,78.0,5.143748714062821,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
95,3,59.0,7.25,1,1,177.0,7.249992750007251,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
96,3,29.77810885753248,8.05,1,1,89.33432657259743,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
97,1,71.0,34.6542,1,1,71.0,34.65416534583466,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
98,1,23.0,63.3583,2,0,23.0,31.679134160432916,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
99,2,34.0,23.0,2,0,68.0,11.499994250002874,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
100,2,34.0,26.0,2,0,68.0,12.99999350000325,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
101,3,28.0,7.8958,1,1,84.0,7.895792104207897,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
102,3,27.543020563624466,7.8958,1,1,82.6290616908734,7.895792104207897,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
103,1,21.0,77.2875,2,0,21.0,38.64373067813465,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
104,3,33.0,8.6542,1,1,99.0,8.654191345808654,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
105,3,37.0,7.925,3,0,111.0,2.6416657861114046,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
106,3,28.0,7.8958,1,1,84.0,7.895792104207897,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
107,3,21.0,7.65,1,1,63.0,7.6499923500076505,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
108,3,27.484150815728494,7.775,1,1,82.45245244718548,7.774992225007776,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
109,3,38.0,7.8958,1,1,114.0,7.895792104207897,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
110,3,17.612458333333333,24.15,2,0,52.837374999999994,12.074993962503017,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1
111,1,47.0,52.0,1,1,47.0,51.999948000052,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
112,3,14.5,14.4542,2,0,43.5,7.227096386451806,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
113,3,22.0,8.05,1,1,66.0,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
114,3,20.0,9.825,2,0,60.0,4.912497543751227,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
115,3,17.0,14.4583,1,1,51.0,14.458285541714458,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0
116,3,21.0,7.925,1,1,63.0,7.924992075007926,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
117,3,70.5,7.75,1,1,211.5,7.74999225000775,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
118,2,29.0,21.0,2,0,58.0,10.499994750002624,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
119,1,24.0,247.5208,2,0,24.0,123.76033811983093,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
120,3,2.0,31.275,7,0,6.0,4.467856504591928,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
121,2,21.0,73.5,3,0,42.0,24.499991833336054,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
122,3,29.77810885753248,8.05,1,1,89.33432657259743,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
123,2,32.5,30.0708,2,0,65.0,15.035392482303758,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
124,2,32.5,13.0,1,1,65.0,12.999987000013,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
125,1,54.0,77.2875,2,0,54.0,38.64373067813465,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
126,3,12.0,11.2417,2,0,36.0,5.620847189576405,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
127,3,40.62484406565656,7.75,1,1,121.87453219696968,7.74999225000775,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
128,3,24.0,7.1417,1,1,72.0,7.141692858307143,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
129,3,4.405767857142855,22.3583,3,0,13.217303571428566,7.452764182411939,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
130,3,45.0,6.975,1,1,135.0,6.974993025006976,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
131,3,33.0,7.8958,1,1,99.0,7.895792104207897,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
132,3,20.0,7.05,1,1,60.0,7.04999295000705,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
133,3,47.0,14.5,2,0,141.0,7.249996375001812,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
134,2,29.0,26.0,2,0,58.0,12.99999350000325,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
135,2,25.0,13.0,1,1,50.0,12.999987000013,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
136,2,23.0,15.0458,1,1,46.0,15.045784954215048,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
137,1,19.0,26.2833,3,0,19.0,8.761097079634306,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1
138,1,37.0,53.1,2,0,37.0,26.549986725006637,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
139,3,16.0,9.2167,1,1,48.0,9.216690783309216,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
140,1,24.0,79.2,1,1,24.0,79.19992080007921,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
141,3,30.315,15.2458,3,0,90.94500000000001,5.08193163935612,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
142,3,22.0,7.75,1,1,66.0,7.74999225000775,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
143,3,24.0,15.85,2,0,72.0,7.92499603750198,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
144,3,19.0,6.75,1,1,57.0,6.74999325000675,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
145,2,18.0,11.5,1,1,36.0,11.4999885000115,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
146,2,19.0,36.75,3,0,38.0,12.249995916668027,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
147,3,27.0,7.7958,1,1,81.0,7.795792204207796,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1
148,3,9.0,34.375,5,0,27.0,6.874998625000274,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
149,2,36.5,26.0,3,0,73.0,8.66666377777874,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
150,2,42.0,13.0,1,1,84.0,12.999987000013,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
151,2,51.0,12.525,1,1,102.0,12.524987475012527,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
152,1,22.0,66.6,2,0,22.0,33.29998335000832,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
153,3,55.5,8.05,1,1,166.5,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
154,3,40.5,14.5,3,0,121.5,4.833331722222759,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
155,3,31.659309346505758,7.3125,1,1,94.97792803951728,7.312492687507313,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
156,1,51.0,61.3792,2,0,51.0,30.689584655207668,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0
157,3,16.0,7.7333,1,1,48.0,7.733292266707734,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
158,3,30.0,8.05,1,1,90.0,8.049991950008051,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
159,3,23.99764160050849,8.6625,1,1,71.99292480152548,8.662491337508662,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
160,3,11.884333333333332,69.55,11,0,35.653,6.322726697933937,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
161,3,44.0,16.1,2,0,132.0,8.049995975002012,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
162,2,40.0,15.75,1,1,80.0,15.749984250015752,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
163,3,26.0,7.775,1,1,78.0,7.774992225007776,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
164,3,17.0,8.6625,1,1,51.0,8.662491337508662,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
165,3,1.0,39.6875,6,0,3.0,6.614582230902961,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
166,3,9.0,20.525,3,0,27.0,6.84166438611187,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
167,1,40.069541666666666,55.0,2,0,40.069541666666666,27.499986250006874,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1
168,3,45.0,27.9,6,0,135.0,4.649999225000129,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
169,1,47.35342099567099,25.925,1,1,47.35342099567099,25.92497407502593,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
170,3,28.0,56.4958,1,1,84.0,56.4957435042565,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
171,1,61.0,33.5,1,1,61.0,33.4999665000335,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
172,3,4.0,29.125,6,0,12.0,4.854165857639024,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
173,3,1.0,11.1333,3,0,3.0,3.711098762967079,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
174,3,21.0,7.925,1,1,63.0,7.924992075007926,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
175,1,56.0,30.6958,1,1,56.0,30.695769304230698,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
176,3,18.0,7.8542,3,0,54.0,2.6180657939780683,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
177,3,5.512700396825397,25.4667,5,0,16.53810119047619,5.093338981332203,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
178,1,50.0,28.7125,1,1,50.0,28.712471287528714,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
179,2,30.0,13.0,1,1,60.0,12.999987000013,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
